[2025-09-10 01:22:01] 开始全面对齐注入流程
[2025-09-10 01:22:01] 文件已对齐，跳过: 01-哲学基础理论/01-本体论基础.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 01-哲学基础理论/02-认识论基础.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 01-哲学基础理论/03-方法论基础.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 02-数学理论体系/01-集合论基础.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 02-数学理论体系/02-代数基础.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 02-数学理论体系/03-几何基础.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 02-数学理论体系/04-分析基础.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 02-数学理论体系/05-拓扑基础.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 02-数学理论体系/05-范畴论基础.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 02-数学理论体系/06-数论基础.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 03-形式语言理论体系/01-自动机统一理论.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 03-形式语言理论体系/02-语法理论.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 03-形式语言理论体系/03-语义理论.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 03-形式语言理论体系/04-类型理论.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 03-形式语言理论体系/05-计算理论.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 04-形式模型理论体系/00-形式模型理论统一总论.md
[2025-09-10 01:22:01] 已添加对齐段落: 04-形式模型理论体系/01-状态机理论.md
[2025-09-10 01:22:01] 已添加对齐段落: 04-形式模型理论体系/02-Petri网理论.md
[2025-09-10 01:22:01] 已添加对齐段落: 04-形式模型理论体系/03-时序逻辑理论.md
[2025-09-10 01:22:01] 文件已对齐，跳过: 04-软件架构理论体系/00-软件架构理论统一总论.md
[2025-09-10 01:22:01] 已添加对齐段落: 04-软件架构理论体系/01-架构模式理论.md
[2025-09-10 01:22:02] 已添加对齐段落: 04-软件架构理论体系/02-组件理论.md
[2025-09-10 01:22:02] 文件已对齐，跳过: 05-编程语言理论体系/01-语法与语言设计统一理论.md
[2025-09-10 01:22:02] 文件已对齐，跳过: 05-编程语言理论体系/02-语义与语法统一理论.md
[2025-09-10 01:22:02] 文件已对齐，跳过: 05-编程语言理论体系/03-类型统一理论.md
[2025-09-10 01:22:02] 文件已对齐，跳过: 05-编程语言理论体系/04-编译统一理论.md
[2025-09-10 01:22:02] 文件已对齐，跳过: 07-分布式与微服务/00-分布式与微服务理论体系总论-整合版.md
[2025-09-10 01:22:02] 文件已对齐，跳过: 11-理论统一与整合/00-理论统一与整合理论体系总论-整合版.md
[2025-09-10 01:22:02] 文件已对齐，跳过: 10-AI交互建模理论体系/00-AI交互建模理论体系总论-整合版.md
[2025-09-10 01:22:02] 文件已对齐，跳过: 08-实践应用开发/00-实践应用开发总论.md
[2025-09-10 01:22:02] 文件已对齐，跳过: 09-索引与导航/00-索引与导航理论体系总论-整合版.md
[2025-09-10 01:22:02] 全面对齐注入完成
[2025-09-10 01:22:02] 处理文件数: 5
[2025-09-10 01:22:02] 跳过文件数: 26
[2025-09-10 01:22:02] 日志文件: reports/checks/comprehensive-alignment-20250910-012201.log
